,QLD,QQQ,TQQQ,VOO
2025-05-16,52.93901062011719,518.9978637695312,35.535614013671875,541.4932250976562
2025-05-19,53.01388168334961,519.4954223632812,35.63011169433594,542.0484008789062
2025-05-20,52.6345329284668,517.7637939453125,35.257102966308594,540.1253051757812
2025-05-21,51.17204666137695,510.5686645507813,33.789920806884766,531.0947875976562
2025-05-22,51.36172103881836,511.5240478515625,33.9639892578125,531.3426513671875
2025-05-23,50.383399963378906,506.7869262695313,32.98421096801758,527.7542114257812
2025-05-27,52.72437286376953,518.7091674804688,35.28196716308594,538.5988159179688
2025-05-28,52.27515411376953,516.4103393554688,34.829376220703125,535.5257568359375
2025-05-29,52.46482467651367,517.4254760742188,34.998477935791016,537.587646484375
2025-05-30,52.27515411376953,516.609375,34.814456939697266,537.032470703125
2025-06-02,53.078765869140625,520.689697265625,35.61519241333008,540.155029296875
2025-06-03,53.92231750488281,524.7598876953125,36.445762634277344,543.2181396484375
2025-06-04,54.20183944702149,526.222900390625,36.739200592041016,542.8711547851562
2025-06-05,53.35329818725586,522.2620239257812,35.883758544921875,540.3334350585938
2025-06-06,54.38153076171875,527.3672485351562,36.90829849243164,545.8547973632812
2025-06-09,54.531272888183594,528.1435546875,37.07242584228515,546.439697265625
2025-06-10,55.26001739501953,531.63671875,37.788612365722656,549.5523071289062
2025-06-11,54.87567901611328,529.8452758789062,37.400672912597656,548.03564453125
2025-06-12,55.1252555847168,531.0892944335938,37.644378662109375,550.107421875
2025-06-13,53.712684631347656,524.4215698242188,36.22195816040039,543.9813842773438
2025-06-16,55.19013977050781,531.7162475585938,37.69908905029297,549.2351684570312
2025-06-17,54.0920295715332,526.5313720703125,36.58502197265625,544.5562744140625
2025-06-18,54.06707000732422,526.4417114257812,36.5352897644043,544.447265625
2025-06-20,53.58290100097656,524.292236328125,36.032962799072266,542.9404907226562
2025-06-23,54.70098114013672,529.6832275390625,37.152000427246094,548.53125
2025-06-24,56.35813522338867,537.7831420898438,38.842987060546875,554.5582885742188
2025-06-25,56.62996292114258,539.157958984375,39.1412353515625,554.8358154296875
2025-06-26,57.69930267333984,544.19921875,40.213531494140625,559.2271728515625
2025-06-27,58.07906723022461,546.0623779296875,40.60753631591797,562.0027465820312
2025-06-30,58.81861114501953,549.5992431640625,41.395545959472656,564.8117065429688
2025-07-01,57.794246673583984,544.9664306640625,40.343204498291016,564.5531616210938
2025-07-02,58.60873794555664,548.7623291015625,41.14617919921875,567.0588989257812
2025-07-03,59.70806121826172,554.1622924804688,42.29826736450195,571.9609375
2025-07-07,58.8136100769043,549.98779296875,41.35564804077149,567.3770751953125
2025-07-08,58.858585357666016,550.2966918945312,41.4105110168457,566.9992065429688
2025-07-09,59.68806838989258,554.192138671875,42.268348693847656,570.3600463867188
2025-07-10,59.49818801879883,553.3951416015625,42.07383346557617,572.0305786132812
2025-07-11,59.2133674621582,552.1497802734375,41.754642486572266,569.9722900390625
2025-07-14,59.61811447143555,554.15234375,42.19852066040039,571.0958862304688
2025-07-15,59.71305465698242,554.660400390625,42.30824661254883,568.6199951171875
2025-07-16,59.84297561645508,555.2283935546875,42.42794418334961,570.4893188476562
2025-07-17,60.8023796081543,559.7216186523438,43.41545104980469,573.9098510742188
2025-07-18,60.64748001098633,559.1836547851562,43.265830993652344,573.6513061523438
2025-07-21,61.272090911865234,562.0828857421875,43.92416763305664,574.675537109375
2025-07-22,60.62749099731445,559.1737060546875,43.24089050292969,574.675537109375
2025-07-23,61.172149658203125,561.7241821289062,43.809452056884766,579.5576782226562
2025-07-24,61.441986083984375,562.9197387695312,44.098724365234375,579.9554443359375
2025-07-25,61.68683624267578,564.2747802734375,44.34809494018555,582.2622680664062
2025-07-28,62.07659530639648,566.0382080078125,44.782005310058594,582.1231079101562
2025-07-29,61.89170837402344,565.1614990234375,44.577518463134766,580.6116943359375
2025-07-30,62.036617279052734,565.9186401367188,44.73212814331055,579.9057006835938
2025-07-31,61.3470458984375,562.9197387695312,43.99399185180664,577.7280883789062
2025-08-01,58.898563385009766,551.8309326171875,41.35564804077149,568.2123413085938
2025-08-04,61.06222152709961,562.0131225585938,43.61993408203125,576.8530883789062
2025-08-05,60.21774673461914,558.1973266601562,42.71222305297851,574.0789184570312
2025-08-06,61.731807708740234,565.2213134765625,44.30819320678711,578.3446044921875
2025-08-07,62.14655303955078,567.1340942382812,44.75706481933594,577.99658203125
2025-08-08,63.27085494995117,572.4244995117188,45.964019775390625,582.42138671875
2025-08-11,62.86111068725586,570.730712890625,45.56003952026367,581.2281494140625
2025-08-12,64.46012115478516,577.9041137695312,47.24080276489258,587.4328002929688
2025-08-13,64.51009368896484,578.193115234375,47.31062316894531,589.4811401367188
2025-08-14,64.39515686035156,577.7446899414062,47.18095016479492,589.4910278320312
2025-08-15,63.79053497314453,575.2042236328125,46.512638092041016,588.2183227539062
2025-08-18,63.75055694580078,574.9750366210938,46.45278549194336,588.009521484375
2025-08-19,62.00164031982422,567.1739501953125,44.55756759643555,584.7978515625
2025-08-20,61.24710464477539,563.8064575195312,43.74462127685547,583.256591796875
2025-08-21,60.68745422363281,561.1962280273438,43.13615417480469,580.959716796875
2025-08-22,62.53131103515625,569.85400390625,45.07625961303711,589.8490600585938
2025-08-25,62.15654373168945,568.210205078125,44.682254791259766,587.353271484375
2025-08-26,62.65623474121094,570.4915771484375,45.20094680786133,589.6998901367188
2025-08-27,62.83112716674805,571.368408203125,45.40542984008789,591.0521850585938
2025-08-28,63.59564971923828,574.9451293945312,46.23333740234375,593.1403198242188
2025-08-29,62.07159423828125,568.2898559570312,44.56754302978515,589.7197875976562
2025-09-02,61.042236328125,563.5275268554688,43.43041229248047,585.3745727539062
2025-09-03,61.971656799316406,567.9610595703125,44.4428596496582,588.367431640625
2025-09-04,63.10095977783203,573.1019287109375,45.64482116699219,593.2099609375
2025-09-05,63.24087142944336,573.9288940429688,45.79444885253906,591.5891723632812
2025-09-08,63.86048889160156,576.728515625,46.44779586791992,593.1204223632812
2025-09-09,64.20527648925781,578.3624267578125,46.82684326171875,594.5621948242188
2025-09-10,64.2452621459961,578.5517578125,46.87671661376953,596.2823486328125
2025-09-11,64.97480010986328,581.9192504882812,47.66472625732422,601.1447143554688
2025-09-12,65.53445434570312,584.4896850585938,48.25823593139648,601.0154418945312
2025-09-15,66.64876556396484,589.4910888671875,49.4901237487793,604.1475830078125
2025-09-16,66.49886322021484,588.992919921875,49.355464935302734,603.35205078125
2025-09-17,66.21403503417969,587.8173828125,49.041255950927734,602.6561279296875
2025-09-18,67.43828582763672,593.11767578125,50.36292266845703,605.4899291992188
2025-09-19,68.31773376464844,597.1327514648438,51.36040496826172,608.3138427734375
2025-09-22,69.11224365234375,600.667724609375,52.228214263916016,611.2769775390625
2025-09-23,68.17782592773438,596.6779174804688,51.17586898803711,608.0751342773438
2025-09-24,67.7034683227539,594.583251953125,50.625732421875,606.0467529296875
2025-09-25,67.09366607666016,592.0198364257812,49.94679260253906,603.1532592773438
2025-09-26,67.63349151611328,594.4535522460938,50.54585266113281,606.7030029296875
2025-09-29,68.2383041381836,597.20654296875,51.21979904174805,608.408203125
2025-09-30,68.57819366455078,598.8424072265625,51.61917495727539,610.65185546875
2025-10-01,69.23798370361328,601.7150268554688,52.3480339050293,612.835693359375
2025-10-02,69.79780578613281,604.188720703125,52.987030029296875,613.5137329101562
2025-10-03,69.16800689697266,601.645263671875,52.26815414428711,613.5635986328125
2025-10-06,70.21267700195312,606.1636962890625,53.43632888793945,615.65771484375
2025-10-07,69.45791625976562,602.9718627929688,52.57268142700195,613.4638671875
2025-10-08,71.03740692138672,609.8842163085938,54.354888916015625,617.0238037109375
2025-10-09,70.85247039794922,609.1461181640625,54.14022445678711,615.3585205078125
2025-10-10,65.88404846191406,588.0000610351562,48.45912170410156,598.8153686523438
2025-10-13,68.69315338134766,600.4782104492188,51.53430938720703,607.8896484375
2025-10-14,67.77845001220703,596.4784545898438,50.48594665527344,607.0321044921875
2025-10-15,68.69815826416016,600.6876831054688,51.51932907104492,609.7045288085938
2025-10-16,68.18831634521484,598.46337890625,50.94523239135742,605.6759643554688
2025-10-17,69.05804443359375,602.393310546875,51.91371154785156,609.0364379882812
2025-10-20,70.7824935913086,609.9839477539062,53.86066436767578,615.4282836914062
2025-10-21,70.74250793457031,609.8244018554688,53.80075454711914,615.3485717773438
2025-10-22,69.33795166015625,603.9493408203125,52.21823501586914,612.2373046875
2025-10-23,70.52758026123047,609.0264282226562,53.52618789672851,615.6975708007812
2025-10-24,71.96711730957031,615.52978515625,55.19357681274414,620.7931518554688
2025-10-27,74.54629516601562,626.4918823242188,58.12398910522461,628.2221069335938
2025-10-28,75.67093658447266,631.3095703125,59.451908111572266,629.9073486328125
2025-10-29,76.3607177734375,634.15234375,60.21072006225586,630.1666259765625
2025-10-30,74.00147247314453,624.45703125,57.45503234863281,623.4755249023438
2025-10-31,74.71623992919922,627.4694213867188,58.268760681152344,625.2704467773438
2025-11-03,75.38603210449219,630.4716796875,59.06751251220703,626.4970092773438
2025-11-04,72.29701232910156,617.67431640625,55.45317077636719,619.237548828125
2025-11-05,73.2467041015625,621.6941528320312,56.5314826965332,621.1022338867188
2025-11-06,70.50757598876953,610.1136474609375,53.361446380615234,614.5009155273438
2025-11-07,70.03273010253906,608.1885375976562,52.80731201171875,615.1491088867188
2025-11-10,73.10175323486328,621.6442260742188,56.26689529418945,624.7020263671875
2025-11-11,72.71188354492188,619.9884643554688,55.8026237487793,626.1380004882812
2025-11-12,72.58692169189453,619.4996948242188,55.68780517578125,626.4470825195312
2025-11-13,69.60286712646484,606.8519897460938,52.248191833496094,616.2459716796875
2025-11-14,69.67284393310547,607.310791015625,52.288124084472656,616.0864868164062
2025-11-17,68.47822570800781,602.1240234375,50.94523239135742,610.3128051757812
2025-11-18,66.81375122070312,594.7926635742188,49.10311508178711,605.2870483398438
2025-11-19,67.57351684570312,598.3436279296875,49.94679260253906,607.4808349609375
2025-11-20,64.3895263671875,584.1797485351562,46.37738037109375,598.2669067382812
2025-11-21,65.33922576904297,588.568603515625,47.40576934814453,604.2200317382812
2025-11-24,68.7081527709961,603.6201782226562,51.000144958496094,613.20458984375
2025-11-25,69.48790740966797,607.3407592773438,51.928688049316406,618.908447265625
